Tag version: 1.1.01

File_GUID                               {44AF80CC-B9C7-438F-90A3-F832EEC4A495}
File_AssuredContent                     MultiHarp: HWSETG SWSETG
CreatorSW_ContentVersion                1.0
CreatorSW_Name                          MultiHarp AcqUI
CreatorSW_Version                       2.0.0.0
File_CreatingTime                       Mon Jan 18 15:29:54 2021
File_Comment                            T3 Mode
Measurement_Mode                        3
Measurement_SubMode                     0
TTResult_StopReason                     0
Fast_Load_End                           <empty Tag>
TTResultFormat_TTTRRecType              66311
TTResultFormat_BitsPerRecord            32
MeasDesc_BinningFactor                  2
MeasDesc_Offset                         0
MeasDesc_AcquisitionTime                1000
MeasDesc_StopAt                         4294967295
MeasDesc_StopOnOvfl                     False
MeasDesc_Restart                        False
CurSWSetting_DispLog                    True
CurSWSetting_DispAxisTimeFrom           0
CurSWSetting_DispAxisTimeTo             262
CurSWSetting_DispAxisCountFrom          0
CurSWSetting_DispAxisCountTo            4294967295
CurSWSetting_DispCurves                 16
CurSWSetting_DispCurve_MapTo(0)         0
CurSWSetting_DispCurve_Show(0)          True
CurSWSetting_DispCurve_MapTo(1)         1
CurSWSetting_DispCurve_Show(1)          True
CurSWSetting_DispCurve_MapTo(2)         2
CurSWSetting_DispCurve_Show(2)          True
CurSWSetting_DispCurve_MapTo(3)         3
CurSWSetting_DispCurve_Show(3)          True
CurSWSetting_DispCurve_MapTo(4)         4
CurSWSetting_DispCurve_Show(4)          True
CurSWSetting_DispCurve_MapTo(5)         5
CurSWSetting_DispCurve_Show(5)          True
CurSWSetting_DispCurve_MapTo(6)         6
CurSWSetting_DispCurve_Show(6)          True
CurSWSetting_DispCurve_MapTo(7)         7
CurSWSetting_DispCurve_Show(7)          True
CurSWSetting_DispCurve_MapTo(8)         8
CurSWSetting_DispCurve_Show(8)          True
CurSWSetting_DispCurve_MapTo(9)         9
CurSWSetting_DispCurve_Show(9)          True
CurSWSetting_DispCurve_MapTo(10)        10
CurSWSetting_DispCurve_Show(10)         True
CurSWSetting_DispCurve_MapTo(11)        11
CurSWSetting_DispCurve_Show(11)         True
CurSWSetting_DispCurve_MapTo(12)        12
CurSWSetting_DispCurve_Show(12)         True
CurSWSetting_DispCurve_MapTo(13)        13
CurSWSetting_DispCurve_Show(13)         True
CurSWSetting_DispCurve_MapTo(14)        14
CurSWSetting_DispCurve_Show(14)         True
CurSWSetting_DispCurve_MapTo(15)        15
